task_id,user_id,task_description,task_category_manual,task_category_predicted,priority,creation_timestamp,due_date,estimated_duration_minutes,actual_duration_minutes,completion_timestamp,status,start_time_suggested,start_time_actual,context_location,context_day_of_week,context_time_of_day,is_recurring,complexity_score,energy_level_user,mood_user
1,user_001,"Preparar presentación para cliente X","Trabajo","Trabajo","Alta","2024-05-20T09:00:00Z","2024-05-21T17:00:00Z",120,150,"2024-05-21T16:30:00Z","Completada","2024-05-21T14:00:00Z","2024-05-21T14:05:00Z","Oficina","Martes","Tarde",false,4,4,"Concentrado"
2,user_001,"Revisar correos importantes","Trabajo","Trabajo","Media","2024-05-20T09:05:00Z","2024-05-20T10:00:00Z",30,25,"2024-05-20T09:30:00Z","Completada","2024-05-20T09:05:00Z","2024-05-20T09:05:00Z","Oficina","Lunes","Mañana",true,2,4,"Normal"
3,user_002,"Comprar víveres para la semana","Personal","Personal","Media","2024-05-20T18:00:00Z","2024-05-20T20:00:00Z",60,75,"2024-05-20T19:45:00Z","Completada",,, "Supermercado","Lunes","Tarde",false,2,3,"Relajado"
4,user_001,"Llamada de seguimiento con proveedor Y","Trabajo","Trabajo","Alta","2024-05-21T10:00:00Z","2024-05-21T11:00:00Z",45,40,"2024-05-21T10:40:00Z","Completada","2024-05-21T10:00:00Z","2024-05-21T10:02:00Z","Oficina","Martes","Mañana",false,3,4,"Normal"
5,user_003,"Estudiar capítulo 5 de Flutter","Estudio","Estudio","Alta","2024-05-21T15:00:00Z","2024-05-21T17:00:00Z",90,100,"2024-05-21T16:40:00Z","Completada","2024-05-21T15:00:00Z","2024-05-21T15:00:00Z","Casa","Martes","Tarde",false,4,3,"Concentrado"
6,user_002,"Hacer ejercicio - rutina de cardio","Salud","Salud","Media","2024-05-22T07:00:00Z","2024-05-22T08:00:00Z",45,50,"2024-05-22T07:55:00Z","Completada",, "2024-05-22T07:03:00Z","Gimnasio","Miércoles","Mañana",true,3,5,"Energético"
7,user_001,"Brainstorming nuevo proyecto Z","Trabajo","Trabajo","Alta","2024-05-22T11:00:00Z","2024-05-22T13:00:00Z",120,,"","Pendiente","2024-05-22T11:00:00Z",, "Oficina","Miércoles","Mañana",false,5,4,"Creativo"
8,user_003,"Planificar viaje de vacaciones","Personal","Personal","Baja","2024-05-22T19:00:00Z","2024-05-26T23:59:00Z",180,,"","Pendiente",,, "Casa","Miércoles","Noche",false,3,3,"Relajado"
9,user_002,"Leer artículo sobre IA en móviles","Estudio","Estudio","Media","2024-05-23T09:00:00Z","2024-05-23T10:00:00Z",60,55,"2024-05-23T09:55:00Z","Completada",, "2024-05-23T09:00:00Z","Casa","Jueves","Mañana",false,3,4,"Curioso"
10,user_001,"Redactar informe mensual","Trabajo","Trabajo","Alta","2024-05-23T14:00:00Z","2024-05-24T17:00:00Z",240,,"","En Progreso","2024-05-23T14:00:00Z","2024-05-23T14:10:00Z","Oficina","Jueves","Tarde",false,5,3,"Normal"
11,user_004,"Clase de Yoga","Salud","Salud","Media","2024-05-20T18:30:00Z","2024-05-20T19:30:00Z",60,60,"2024-05-20T19:30:00Z","Completada",, "2024-05-20T18:30:00Z","Estudio Yoga","Lunes","Tarde",true,2,4,"Relajado"
12,user_004,"Terminar diseño UI para app","Trabajo","Diseño","Alta","2024-05-21T09:00:00Z","2024-05-21T15:00:00Z",300,320,"2024-05-21T15:20:00Z","Completada","2024-05-21T09:30:00Z","2024-05-21T09:35:00Z","Casa","Martes","Mañana",false,5,3,"Concentrado"
13,user_001,"Reunión de equipo semanal","Trabajo","Reunión","Media","2024-05-22T09:00:00Z","2024-05-22T10:00:00Z",60,65,"2024-05-22T10:05:00Z","Completada",, "2024-05-22T09:00:00Z","Online","Miércoles","Mañana",true,3,4,"Normal"
14,user_002,"Pagar facturas pendientes","Finanzas","Finanzas","Alta","2024-05-23T11:00:00Z","2024-05-23T12:00:00Z",30,20,"2024-05-23T11:20:00Z","Completada",, "2024-05-23T11:00:00Z","Casa","Jueves","Mañana",false,2,3,"Normal"
15,user_003,"Investigar sobre APIs de terceros","Estudio","Desarrollo","Media","2024-05-24T10:00:00Z","2024-05-24T13:00:00Z",120,,"","Pendiente","2024-05-24T10:00:00Z",, "Casa","Viernes","Mañana",false,4,4,"Investigador"
16,user_001,"Almuerzo con colega","Social","Social","Baja","2024-05-24T13:00:00Z","2024-05-24T14:00:00Z",60,70,"2024-05-24T14:10:00Z","Completada",, "2024-05-24T13:00:00Z","Restaurante","Viernes","Mediodía",false,1,5,"Relajado"
